child_category_uri,parent_category_uri
http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,http://data.europa.eu/esco/skill/f5328159-dfe9-4f25-b8e7-a03fb0d3a991
http://data.europa.eu/esco/skill/35dc2a23-cdc3-4291-930f-927ba2911949,http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809
http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
http://data.europa.eu/esco/skill/eb6cc4ba-4bb8-4348-9a3b-dc419558f66a,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524
http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,http://data.europa.eu/esco/skill/18da3b88-1cd5-4ef3-83d6-664e52afdaba
http://data.europa.eu/esco/isced-f/0416,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
http://data.europa.eu/esco/isced-f/0710,http://data.europa.eu/esco/isced-f/071
http://data.europa.eu/esco/isced-f/0715,http://data.europa.eu/esco/isced-f/071
http://data.europa.eu/esco/skill/95bf4552-6d5b-41dc-b990-53ace372f705,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
http://data.europa.eu/esco/skill/e6eeb84c-ad99-42e2-b883-e6ce338aef59,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524
http://data.europa.eu/esco/isced-f/0211,http://data.europa.eu/esco/isced-f/021
http://data.europa.eu/esco/skill/cfd5ab8f-ef8a-4877-8243-ddf17ac74604,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524
http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,http://data.europa.eu/esco/skill/3753e796-121e-46a3-9c27-dee31ce92c80
