category_uri,name,code,level,parent_uri,parent_name
http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524,"organising, planning and scheduling work and activities",S4.2,2,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,management skills
http://data.europa.eu/esco/skill/18da3b88-1cd5-4ef3-83d6-664e52afdaba,building and repairing structures,S7.1,2,http://data.europa.eu/esco/skill/2ae39fc8-0f1b-4284-9e73-3f2739471f63,constructing
http://data.europa.eu/esco/isced-f/021,arts,021,2,http://data.europa.eu/esco/isced-f/02,arts and humanities
http://data.europa.eu/esco/skill/c1a13ee0-b00d-4cfa-a22c-20d284e398b0,management skills,S4.0,2,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,management skills
http://data.europa.eu/esco/isced-f/091,health,091,2,http://data.europa.eu/esco/isced-f/09,health and welfare
http://data.europa.eu/esco/isced-f/102,hygiene and occupational health services,102,2,http://data.europa.eu/esco/isced-f/10,services
http://data.europa.eu/esco/isced-f/003,personal skills and development,003,2,http://data.europa.eu/esco/isced-f/00,generic programmes and qualifications
http://data.europa.eu/esco/skill/e1746275-6d4e-4b02-b526-eeebf3052b6d,providing information and support to the public and clients,S3.4,2,http://data.europa.eu/esco/skill/c73521be-c039-4e22-b037-3b01b3f6f9d9,assisting and caring
http://data.europa.eu/esco/skill/1e95cef2-9c35-4f9f-b6a9-cb458c3e5379,"monitoring, inspecting and testing",S2.8,2,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740,information skills
http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,working with digital devices and applications,T1.3,2,http://data.europa.eu/esco/skill/b94686e3-cce5-47a2-a8d8-402a0d0ed44e,core skills and competences
http://data.europa.eu/esco/isced-f/068,inter-disciplinary programmes and qualifications involving information and communication technologies (icts),068,2,http://data.europa.eu/esco/isced-f/06,information and communication technologies (icts)
http://data.europa.eu/esco/skill/cacc62f3-2df4-4cc3-9d5d-0d014db56bd9,"using digital tools for collaboration, content creation and problem solving",S5.6,2,http://data.europa.eu/esco/skill/243eb885-07c7-4b77-ab9c-827551d83dc4,working with computers
http://data.europa.eu/esco/isced-f/031,social and behavioural sciences,031,2,http://data.europa.eu/esco/isced-f/03,"social sciences, journalism and information"
http://data.europa.eu/esco/skill/ac88053e-c9b5-43cf-ace1-f506bcfdc8cb,performing and entertaining,S1.14,2,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration and creativity"
http://data.europa.eu/esco/isced-f/032,journalism and information,032,2,http://data.europa.eu/esco/isced-f/03,"social sciences, journalism and information"
http://data.europa.eu/esco/skill/0101f8a4-4243-4e67-813b-3e2a6274f7e2,monitoring developments in area of expertise,S2.9,2,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740,information skills
http://data.europa.eu/esco/skill/323b3684-86ec-40fa-81b4-bc52694ef168,negotiating,S1.1,2,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration and creativity"
http://data.europa.eu/esco/isced-f/022,humanities (except languages),022,2,http://data.europa.eu/esco/isced-f/02,arts and humanities
http://data.europa.eu/esco/isced-f/054,mathematics and statistics,054,2,http://data.europa.eu/esco/isced-f/05,"natural sciences, mathematics and statistics"
http://data.europa.eu/esco/skill/9827c329-3492-4e8d-852c-da0894228ff6,allocating and controlling resources,S4.3,2,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,management skills
http://data.europa.eu/esco/skill/548c3fbe-9eb1-4035-bc54-027fd5bc5315,working with others,S1.8,2,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration and creativity"
http://data.europa.eu/esco/skill/d23b21ca-2ef5-4b5e-b37e-a5311dc2e292,using hand tools,S6.7,2,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,handling and moving
http://data.europa.eu/esco/isced-f/011,education,011,2,http://data.europa.eu/esco/isced-f/01,education
http://data.europa.eu/esco/skill/8bbdf1f1-e943-45fc-af2f-1446cbd88245,using more than one language,S1.15,2,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration and creativity"
http://data.europa.eu/esco/skill/85b379e7-e0b7-48b8-baa7-631f50a7cdd5,"communication, collaboration and creativity",S1.0,2,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration and creativity"
http://data.europa.eu/esco/skill/82c084ea-15e9-4d55-98dc-ede0f767baee,information skills,S2.0,2,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740,information skills
http://data.europa.eu/esco/isced-f/079,"engineering, manufacturing and construction not elsewhere classified",079,2,http://data.europa.eu/esco/isced-f/07,"engineering, manufacturing and construction"
http://data.europa.eu/esco/skill/73dba04a-7c18-439f-8757-b5f60532ba74,recruiting and hiring,S4.7,2,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,management skills
http://data.europa.eu/esco/skill/b99283cd-b908-4100-baa5-112692ac22b8,"promoting, selling and purchasing",S1.6,2,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration and creativity"
http://data.europa.eu/esco/isced-f/073,architecture and construction,073,2,http://data.europa.eu/esco/isced-f/07,"engineering, manufacturing and construction"
http://data.europa.eu/esco/skill/bb99a123-88be-42a2-8758-f5a18e06ccc6,making decisions,S4.9,2,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,management skills
http://data.europa.eu/esco/skill/2d02d98c-20c4-4b46-bf44-e5f85a3f03ed,building and developing teams,S4.6,2,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,management skills
http://data.europa.eu/esco/isced-f/058,"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",058,2,http://data.europa.eu/esco/isced-f/05,"natural sciences, mathematics and statistics"
http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis,0613,3,http://data.europa.eu/esco/isced-f/061,information and communication technologies (icts)
http://data.europa.eu/esco/isced-f/0612,database and network design and administration,0612,3,http://data.europa.eu/esco/isced-f/061,information and communication technologies (icts)
http://data.europa.eu/esco/isced-f/0714,electronics and automation,0714,3,http://data.europa.eu/esco/isced-f/071,engineering and engineering trades
http://data.europa.eu/esco/isced-f/0417,work skills,0417,3,http://data.europa.eu/esco/isced-f/041,business and administration
http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,operating communications equipment,S8.6.4,3,http://data.europa.eu/esco/skill/4d7fb3eb-554a-4cf1-a576-bf6e153bdba2,using precision instrumentation and equipment
