Skill,Count
Python,281
AWS,240
Terraform,219
DevOps,186
SQL,166
Ansible,133
Azure,131
Java,130
Agile,128
Docker,123
Ruby,113
Kubernetes,109
Communication,93
Troubleshooting,82
Linux,76
CloudFormation,75
Infrastructure as Code,73
Security,72
Collaboration,68
ECS,68
C++,64
PowerShell,64
CI/CD,64
Automation,63
Groovy,60
Jenkins,60
Go,58
Cloud Computing,54
Artifactory,53
Leadership,52
Availability,52
Innovation,49
Google Cloud,49
JavaScript,46
Scalability,44
GCP,43
Azure Resource Manager,43
Platform Engineering,42
Puppet,42
IBM WebSphere MQ,42
Teamwork,41
Scripting,41
YAML,41
IAM,40
Confidentiality,40
Integrity,40
Project Management,40
Power Automate,39
Mentoring,38
GitHub,38
Kafka,38
Microsoft Identity Manager,38
VBScript,37
Active Directory,35
Problem Solving,34
Git,33
Architecture,33
Public Key Infrastructure (PKI),33
Microsoft Azure,32
C#,32
Bash,32
Software Engineering,31
Reliability,31
Windows Server,31
Problemsolving,31
Machine Learning,30
High School Diploma,29
Power BI,29
DNS,29
ProblemSolving,29
Microservices,28
Networking,28
Power Apps,28
Active Directory Certificate Services,28
Source Control Management,27
Scrum,27
Software Development,27
HTTP,27
Programming,27
GED,26
Diversity,26
ARM,26
Bachelor's Degree,26
Azure Active Directory,26
Google Cloud Directory,26
TCP/IP,25
Kubernetes Administration,25
LDAP,25
AWS Cloud Infrastructure,25
AWS Directory Services,25
Artifact Management,24
Power Platform,24
Design,24
Windows,23
gRPC,23
Wireshark,23
Disaster Recovery,23
Computer Science,22
GitLab CI,22
Jira,22
BPF,22
SharePoint,22
IBM MQ,22
APIs,21
Resiliency,21
Documentation,21
Google Cloud Platform,21
Platform as a Service (PaaS),21
Cloudflare,21
Engineering,20
Cloud computing,20
Attention to Detail,20
Agile practices,19
Cloud Security,19
HTML,19
CSS,19
Microsoft AD on AWS,19
Cloud Engineering,19
COVID19 vaccination,19
Google Cloud Domain Directory,19
Team Leadership,18
Identity lifecycle management,18
Resilience,18
Inclusion,18
PostgreSQL,18
Perl,18
Load Balancing,18
Cloud Storage,18
Maintenance,18
Single SignOn (SSO),18
Scripting languages,17
Privileged access management,17
Software engineering,17
.NET,17
Analytical skills,17
Testing,17
Spark,17
Gitlab,17
Communication skills,17
Microsoft Active Directory,17
Agile Development,16
Data Modeling,16
Data Management,16
Dataverse,16
Microsoft Power Platform,16
Disaster recovery,16
Windows Security,16
Windows security,16
Group policy management,16
Compliance,15
Communication Skills,15
Chef,15
Data modeling,15
Analytical Skills,15
GitLab,15
System Administration,15
Capacity planning,15
Risk Management,14
Container Orchestration,14
Monitoring,14
Kanban,14
COVID19 Vaccination,14
React,14
Bachelor's degree,14
Azure DevOps,14
Data Engineering,14
AWS Microsoft AD,14
Adaptability,13
Product Management,13
Software development,13
JSON,13
Project management,13
Confluence,13
Command Line,13
Programming languages,13
Unix,13
IT,13
ITIL,13
Infrastructure as a Service (IaaS),13
Microsoft Azure AD,13
Problem solving,12
Data Science,12
Artificial Intelligence,12
Mentorship,12
ServiceNow,12
Splunk,12
Implementation,12
Snowflake,12
Team leadership,12
Relational Databases,12
Virtualization,12
Infrastructure,11
SQL Server,11
Containerization,11
Data Warehousing,11
Data Pipelines,11
AngularJS,11
Logging,11
Containers,11
NoSQL,11
Attention to detail,11
Consulting,11
Power Pages,11
WebSphere MQ,11
Development,11
Salesforce,11
DevOps tools,11
Data Analytics,11
Academic and professional success,11
Single SignOn (SSO)/MFA,11
Group Policy Management,11
Performance monitoring,11
Single SignOn,11
Performance Monitoring,11
Databases,10
Middleware,10
AWS certifications,10
User authentication,10
Qlik Sense,10
SSIS,10
Vendor Management,10
Change Management,10
Standards,10
Cloud Infrastructure,10
Cloud security,10
People Management,10
Spring Boot,10
Escalation,10
Dynamics 365,10
Azure Data Factory,10
XML,10
PaaS,10
REST APIs,10
Continuous Improvement,10
Authorization,10
Agile development,10
Analytics,10
Citrix Certified Associate  Virtualization (CCAV),10
LargeScale Systems,10
Capacity Planning,10
Diversity and Inclusion,9
Infrastructure as code,9
IAM services,9
CI/CD frameworks,9
Training,9
Redis,9
Hadoop,9
Tableau,9
Flexibility,9
Source Control Management Software,9
Grafana,9
